,,,,,,,MOBILECARE - APP BONIFACIO HIGH STREET,MOBILECARE - APP GREENBELT 3,MOBILECARE - APP POWER PLANT MALL,MOBILECARE - GLORIETTA 5,MOBILECARE - S'MAISON,MOBILECARE - APP MALL OF ASIA,MOBILECARE - THE PODIUM,MOBILECARE - APP MEGAMALL,MOBILECARE - APP THE ANNEX,MOBILECARE - APP TRINOMA,MOBILECARE - VERTIS NORTH,MOBILECARE - NORTHEAST SQUARE,MOBILECARE - APP FESTIVAL MALL,MOBILECARE - SM MARIKINA,MOBILECARE - APP MAGNOLIA,MOBILECARE - LIMA ESTATE,MOBILECARE - NEWPOINT MALL,MOBILECARE - NAGA,MOBILECARE - LA UNION,MOBILECARE - FESTIVE WALK ILOILO,MOBILECARE - CEBU,MOBILECARE - ZAMBOANGA,MOBILECARE - DAVAO,MOBILECARE SERVICES,MOBILECARE - CAGAYAN DE ORO,MOBILECARE - APP SM LANANG,,,,,,,,,,,,,
,Commodity,Forecasted Qty,Stocking Price,Exchange Price,P/N,Part Description,APP BHS,APP GB3,APP PPM,ASP GL5,ASP SMS,APP MOA,ASP POD,APP MEG,APP ANX,APP TRI,ASP VN,ASP NES,APP FES,ASP MRK,APP RM,ASP LIM,ASP NPM,ASP NAG,ASP LAU,ASP ILO,ASP CEB,ASP ZAM,ASP ABR,ASP COT,ASP CDO,APP LAN,,Total Parts,Total Stock Price per Parts,W1 Parts Alloc,W1 Total,W2 Parts Alloc.,W2 Total,W3 Parts Alloc,W3 Total,W4 Parts Alloc,W4 Total,Remarks,Addt'l Remarks
MOBILECARE SERVICES,DISPLAY,16,279.00,234.00,661-21988,"Display, iPhone 13",0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,2,2,1,1,2,1,0,0,0,1,0,,16,"$4,464.00",4,"$1,116.00",4,"$1,116.00",4,"$1,116.00",4,"$1,116.00",ORDER REQUIRED,
"Display, iPhone 13 Pro",,3,279.00,234.00,661-21993,"Display, iPhone 13 Pro",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,2,$558.00,1,$279.00,1,$279.00,0,$0.00,0,$0.00,ORDER REQUIRED,
MOBILECARE - NEWPOINT MALL,,-1,329.00,276.00,661-22309,"Display, iPhone 13 Pro Max",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
MOBILECARE - APP THE ANNEX,,4,279.00,234.00,661-30366,"Display, iPhone 14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,$279.00,1,$279.00,0,$0.00,0,$0.00,0,$0.00,ORDER REQUIRED,
MOBILECARE - THE PODIUM,,-1,329.00,276.00,661-30390,"Display, iPhone 14 Plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
MOBILECARE - FESTIVE WALK ILOILO,,1,329.00,276.00,661-29370,"Display, iPhone 14 Pro",0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,$987.00,1,$329.00,1,$329.00,1,$329.00,0,$0.00,ORDER REQUIRED,
MOBILECARE - APP MALL OF ASIA,,6,379.00,318.00,661-30401,"Display, iPhone 14 Pro Max",0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,,7,"$2,653.00",1,$379.00,2,$758.00,2,$758.00,2,$758.00,ORDER REQUIRED,
MOBILECARE - CEBU,,7,279.00,234.00,661-36706,"Display, iPhone 15",0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,,7,"$1,953.00",2,$558.00,2,$558.00,2,$558.00,1,$279.00,ORDER REQUIRED,
MOBILECARE - APP FESTIVAL MALL,,0,329.00,276.00,661-37213,"Display, iPhone 15 Plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
MOBILECARE - S'MAISON,,3,329.00,276.00,661-35699,"Display, iPhone 15 Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2,$658.00,1,$329.00,1,$329.00,0,$0.00,0,$0.00,ORDER REQUIRED,
MOBILECARE - NAGA,,4,379.00,318.00,661-36915,"Display, iPhone 15 Pro Max",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,,6,"$2,274.00",1,$379.00,1,$379.00,2,$758.00,2,$758.00,ORDER REQUIRED,
MOBILECARE - APP GREENBELT 3,,7,279.00,246.00,661-44797,"Display, iPhone 16",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,4,"$1,116.00",1,$279.00,1,$279.00,1,$279.00,1,$279.00,ORDER REQUIRED,
MOBILECARE - LIMA ESTATE,,2,329.00,290.00,661-42843,"Display, iPhone 16 Plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,$329.00,0,$0.00,0,$0.00,0,$0.00,1,$329.00,ORDER REQUIRED,
MOBILECARE - CAGAYAN DE ORO,,11,329.00,290.00,661-42726,"Display, iPhone 16 Pro",0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,,10,"$3,290.00",3,$987.00,3,$987.00,2,$658.00,2,$658.00,ORDER REQUIRED,
MOBILECARE - VERTIS NORTH,,7,379.00,334.00,661-44955,"Display, iPhone 16 Pro Max",0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,7,"$2,653.00",1,$379.00,2,$758.00,2,$758.00,2,$758.00,ORDER REQUIRED,
MOBILECARE - LA UNION,,2,229.00,202.00,661-49431,"Display, iPhone 16e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,$229.00,1,$229.00,0,$0.00,0,$0.00,0,$0.00,ORDER REQUIRED,
MOBILECARE - APP MAGNOLIA,,9,329.00,313.00,661-56065,"Display, iPhone 17",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,7,"$2,303.00",1,$329.00,2,$658.00,2,$658.00,2,$658.00,ORDER REQUIRED,
MOBILECARE - NORTHEAST SQUARE,,14,329.00,313.00,661-56125,"Display, iPhone 17 Pro",1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,1,0,,11,"$3,619.00",3,$987.00,3,$987.00,3,$987.00,2,$658.00,ORDER REQUIRED,
MOBILECARE - APP MEGAMALL,,34,379.00,360.00,661-56050,"Display, iPhone 17 Pro Max",0,1,1,2,2,1,3,1,2,1,3,0,3,1,1,2,4,1,1,0,1,0,2,0,1,0,,34,"$12,886.00",8,"$3,032.00",8,"$3,032.00",9,"$3,411.00",9,"$3,411.00",ORDER REQUIRED,
MOBILECARE - APP BONIFACIO HIGH STREET,,0,229.00,218.00,661-60211,"Display, iPhone 17e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
MOBILECARE - ZAMBOANGA,,2,329.00,313.00,661-55240,"Display, iPhone Air",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,3,$987.00,0,$0.00,1,$329.00,1,$329.00,1,$329.00,ORDER REQUIRED,
,,132,,,,,2,3,2,6,7,2,8,1,4,3,12,1,8,7,4,14,13,3,4,2,5,1,7,0,3,0,,122,"$41,238.00",30,"$9,870.00",32,"$10,778.00",31,"$10,599.00",29,"$9,991.00",,
,BATTERY,175,89.00,46.00,661-21991,"Battery, iPhone 13",1,2,2,11,23,6,8,4,7,9,22,4,15,11,4,15,15,2,3,5,3,1,2,0,0,0,,175,"$15,575.00",43,"$3,827.00",44,"$3,916.00",44,"$3,916.00",44,"$3,916.00",ORDER REQUIRED,
,,22,89.00,46.00,661-21996,"Battery, iPhone 13 Pro",1,0,0,3,2,0,3,1,0,1,2,2,2,1,0,1,2,0,1,0,1,0,1,0,0,0,,24,"$2,136.00",6,$534.00,6,$534.00,6,$534.00,6,$534.00,ORDER REQUIRED,
,,24,89.00,46.00,661-22294,"Battery, iPhone 13 Pro Max",0,0,0,1,2,1,2,1,1,1,4,1,1,1,1,2,2,0,0,0,1,0,1,0,0,0,,23,"$2,047.00",5,$445.00,6,$534.00,6,$534.00,6,$534.00,ORDER REQUIRED,
,,7,99.00,51.00,661-30373,"Battery, iPhone 14",0,0,0,1,0,0,0,1,1,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,10,$990.00,3,$297.00,3,$297.00,2,$198.00,2,$198.00,ORDER REQUIRED,
,,1,99.00,51.00,661-30394,"Battery, iPhone 14 Plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
,,18,99.00,51.00,661-30382,"Battery, iPhone 14 Pro",0,0,1,3,1,1,2,0,1,1,3,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,,21,"$2,079.00",6,$594.00,5,$495.00,5,$495.00,5,$495.00,ORDER REQUIRED,
"Battery, iPhone 13 Pro",,31,99.00,51.00,661-30397,"Battery, iPhone 14 Pro Max",0,1,0,3,3,1,5,2,0,1,3,0,2,2,2,1,2,1,0,0,1,0,0,0,0,0,,30,"$2,970.00",7,$693.00,7,$693.00,8,$792.00,8,$792.00,ORDER REQUIRED,
,,9,99.00,51.00,661-35885,"Battery, iPhone 15",0,0,0,1,1,0,2,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,11,"$1,089.00",3,$297.00,3,$297.00,3,$297.00,2,$198.00,ORDER REQUIRED,
,,2,99.00,51.00,661-37207,"Battery, iPhone 15 Plus",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,$198.00,0,$0.00,0,$0.00,1,$99.00,1,$99.00,ORDER REQUIRED,
,,19,99.00,51.00,661-35694,"Battery, iPhone 15 Pro",1,1,0,3,2,0,0,1,1,1,2,2,1,0,1,1,1,1,0,0,0,0,1,0,0,0,,20,"$1,980.00",5,$495.00,5,$495.00,5,$495.00,5,$495.00,ORDER REQUIRED,
