Custom reports - GSX KBB / KGBs Used,,,,,,,,,
Order id,Location Name,GSX Repair Number,GSX Repair Strategy,Current GSX Status,Repair Closed Date,Product Code,Product Description,Product KGB,Product KBB
20015411,MOBILECARE - S'MAISON,G680797302,CIN,SPCM,1/12/2026,661-32209,"Display, Silver",F0Y4164008S2525AL,DCN252403T3PP5DAB
20016758,MOBILECARE - S'MAISON,G682546132,CIN,SPCM,1/21/2026,661-37213,"Display, iPhone 15 Plus",G9Q5226SPGD1PHMAN,G9Q3463SDK11PHMAW
20017853,MOBILECARE - S'MAISON,G680109234,CIN,SPCM,1/16/2026,ZP661-39972,"Space Gray, iPad Air 13-inch (M2), 128GB, Cellular, ITP",FNWYTF9GGY,K6DX2JV643
20018431,MOBILECARE - S'MAISON,G697461301,CIN,RFPU,2/9/2026,ZP661-28887,"Yellow, iPad 10th generation, 64GB, Wi-Fi, ITP",CKHQL5JTW7,C52FN60KG2
20019090,MOBILECARE - S'MAISON,G676977444,CIN,SPCM,1/26/2026,661-21972,"Space Gray, Top Case with Battery, ANSI",F8Y5392N12CQ1LTBC,F8Y136208EPQ1LT6S
20019090,MOBILECARE - S'MAISON,G676977444,CIN,SPCM,1/26/2026,661-21255,"Logic Board, 8-Core CPU, 14-Core GPU, 16GB Memory, 512GB SSD",C022276016C170GA0,C02140604ZT170H1H
20020267,MOBILECARE - S'MAISON,G695546695,CIN,SPCM,1/1/2026,661-44955,"Display, iPhone 16 Pro Max",G9PHK7S1RGN00005DR,GH3HHQ00HWZ00005DS
20021349,MOBILECARE - S'MAISON,G701047729,CIN,SPCM,2/17/2026,661-22374,"Battery, iPhone 13 mini",F8Y5372C56K14LWCH,F5D13657WYS14LX94
20022362,MOBILECARE - S'MAISON,G700389663,CIN,SCOM,2/2/2026,661-30401,"Display, iPhone 14 Pro Max",G9P5295NPGC14YDAY,G9N2507N0GV14YDA2
20022769,MOBILECARE - S'MAISON,G697507923,CIN,SPCM,2/3/2026,PP661-26022,"Starlight, 256 GB, iPad Air 5th generation, Cellular, Philippines",CM43HCVQ0Q,D6P6XJW4N6
20023864,MOBILECARE - S'MAISON,G695274095,CIN,SPCM,1/3/2026,ZP661-40061,"Blue, iPad Air 11-inch (M2), 512GB, Wi-Fi, ITP",KGGH63FK29,H23WWCY33X
20024391,MOBILECARE - S'MAISON,G693664521,CIN,SPCM,1/4/2026,ZP661-50227,"iPad (A16) Wi-Fi, 128GB, Blue, CI/AR, CN",LXD97C97DJ,KX9L0J1W32
20024407,MOBILECARE - S'MAISON,G693754387,CIN,SPCM,1/4/2026,ZP661-50226,"iPad (A16) Wi-Fi, 128GB, Silver, CI/AR, CN",JFW9MY9597,CV926KV0HY
20024656,MOBILECARE - S'MAISON,G685635376,CIN,SPCM,2/28/2026,661-25799,"Display, Starlight",GMG533500A11J88AX,FP1526701FY25YTA5
20025501,MOBILECARE - S'MAISON,G695865079,CIN,SPCM,1/17/2026,ZP661-22034,"Space Gray, 64 GB, iPad 9th Generation, Wi-Fi, ITP",L063PXQK7V,TYJ5T7NT9G
20026379,MOBILECARE - S'MAISON,G696570431,CIN,SPCM,1/8/2026,661-30401,"Display, iPhone 14 Pro Max",G9P5255N0D214YDAJ,GH324310FDT14YFAM
20026277,MOBILECARE - S'MAISON,G680222852,CIN,SPCM,1/11/2026,661-25799,"Display, Starlight",GMG533400N31J88AU,
20026277,MOBILECARE - S'MAISON,G680222852,CIN,SPCM,1/11/2026,661-25799,"Display, Starlight",GMG541300UL1J87A0,GMG5167003K1J87AS
20026597,MOBILECARE - S'MAISON,G694721189,CIN,SPCM,1/26/2026,Z661-35413,"AirPods Pro 2nd gen USB-C, Case, CI/AR, INT",DR90TD7LVH,M63JYKPX6W
20026657,MOBILECARE - S'MAISON,G695542657,CIN,SPCM,1/3/2026,661-21991,"Battery, iPhone 13",F8Y5452C41S18FKBN,F8Y139128WF18FKAB
20026365,MOBILECARE - S'MAISON,G695517729,CIN,SPCM,1/14/2026,661-34304,"Logic Board, M2, 8-core CPU, 10-core GPU, 8 GB, 256 GB",FV932030WC12306A1,FV932052XSB2306A8
20026788,MOBILECARE - S'MAISON,G695545127,CIN,SPCM,1/15/2026,661-36918,"Battery, iPhone 15 Pro Max",FG9HM6000NA00006TT,F5DGYV016F700006TU
20027007,MOBILECARE - S'MAISON,G695018295,CIN,SPCM,1/3/2026,ZP661-50226,"iPad (A16) Wi-Fi, 128GB, Silver, CI/AR, CN",GQ799M2YQX,LHXQT9H93F
20026637,MOBILECARE - S'MAISON,G680797344,CIN,SPCM,2/2/2026,Z661-43090,"AirPods 4, Case, CI/AR, CN, INT",CQ4GH33713,KMX926MH3H
20027591,MOBILECARE - S'MAISON,G695242479,CIN,SCOM,2/3/2026,ZP661-28885,"Silver, iPad 10th generation, 64GB, Wi-Fi, ITP",HX92Y2D4MK,FPQWCGPXF7
20027504,MOBILECARE - S'MAISON,G680796832,CIN,SPCM,1/11/2026,661-30393,"Camera, iPhone 14 Plus",DNL52220G581986B0,DNL40261G131986BF
20027504,MOBILECARE - S'MAISON,G680796832,CIN,SPCM,1/11/2026,661-30391,"TrueDepth Camera, iPhone 14 Plus",FG4251605TP1M7C1G,GMH33770G151GM15E
20020138,MOBILECARE - S'MAISON,G679562564,CIN,SPCM,1/10/2026,PP661-28217,"Space Black, iPhone 14 Pro, 512GB, ROW, CI/AR, Philippines",CRGFW332P5,C6XD44945G
20027609,MOBILECARE - S'MAISON,G695286415,CIN,SPCM,1/2/2026,ZP661-50230,"iPad (A16) Wi-Fi, 256GB, Silver, CI/AR, CN",LW9D6V9X9V,JQ9K3392YY
20026632,MOBILECARE - S'MAISON,G697469389,CIN,SCOM,1/17/2026,661-42727,"TrueDepth Camera, iPhone 16 Pro",J9KHL4004SN0000FD3,
20027739,MOBILECARE - S'MAISON,G695303113,CIN,SPCM,1/12/2026,ZP661-50233,"iPad (A16) Wi-Fi, 256GB, Pink, CI/AR, CN",HFKX532LY5,HMHF142HVK
20027624,MOBILECARE - S'MAISON,G695546049,CIN,GX01,1/25/2026,661-37007,"Logic Board, 16-core CPU, 40-core GPU, 128GB, 4TB",FV95307007P23NLBY,FV9438604SL23NLAR
20027827,MOBILECARE - S'MAISON,G696465581,CIN,SPCM,1/14/2026,661-42726,"Display, iPhone 16 Pro",G9PHK1G2KAA00005DP,GVCH9403K9600005DQ
20028540,MOBILECARE - S'MAISON,G695792237,CIN,SPCM,1/3/2026,661-30397,"Battery, iPhone 14 Pro Max",F8Y5443C2SC20J9B5,F5D320428DC20J8AH
20028294,MOBILECARE - S'MAISON,G696010369,CIN,SPCM,1/4/2026,661-30393,"Camera, iPhone 14 Plus",DNL519505B91986B3,DNL430202AR1986BQ
